event_id,customer_id,order_id,event_timestamp,event_type,session_id,device_type,zone_context,api_latency_ms,success_flag
AE00001,C0488,,2024-08-09 03:25:00,eta_refresh,S19847,Android,north,301,True
AE00002,C0595,O00950,2024-02-13 22:29:00,search_route,S32766,Android,SOUTH,60,True
AE00003,C0494,O00170,2025-08-11 09:29:00,chat_opened,S99516,iOS,Airport,1118,True
AE00004,C0407,O00756,2025-08-23 17:38:00,eta_refresh,S41236,iOS,CENTRAL,442,True
AE00005,C0506,,2024-05-29 10:33:00,search_route,S12030,iOS,north,60,True
AE00006,C0498,O01196,2025-02-08 09:50:00,track_order,S66655,Web,West,499,True
AE00007,C0033,O00028,2025-04-20 19:06:00,chat_opened,S79495,Android,South,169,True
AE00008,C0091,O00076,2024-08-18 02:08:00,search_route,S59028,Android,Ctr,431,True
AE00009,C0421,O01222,2025-07-20 11:46:00,eta_refresh,S76526,Web,North,609,True
AE00010,C0553,O00854,2024-07-10 13:11:00,chat_opened,S24618,Android,WEST,167,True
AE00011,C0643,O00192,2025-05-10 11:23:00,delivery_instruction_update,S22799,iOS,Ctr,182,True
AE00012,C0095,O01080,2025-12-10 19:11:00,chat_escalated,S57519,Android,Ctr,60,True
AE00013,C0479,O00414,2024-05-28 15:11:00,chat_escalated,S37114,Web,WEST,399,False
AE00014,C0626,O01054,2025-04-04 13:19:00,track_order,S75243,Android,AIRPORT,998,True
AE00015,C0014,O00860,2024-08-16 15:27:00,chat_opened,S71663,Android,WEST,238,True
AE00016,C0506,,2024-01-13 06:22:00,search_route,S47757,iOS,RiverSide,536,True
AE00017,C0170,O00424,2024-04-04 06:22:00,chat_escalated,S30048,Android,North,624,False
AE00018,C0530,O00295,2025-11-12 08:58:00,delivery_instruction_update,S76990,Android,NORTH,626,True
AE00019,C0179,O00628,2025-03-31 17:14:00,track_order,S88326,Android,South,707,True
AE00020,C0116,O01065,2025-10-25 19:05:00,chat_opened,S81897,Android,NORTH,196,True
AE00021,C0317,,2025-09-22 05:58:00,search_route,S89590,Android,Ctr,494,True
AE00022,C0188,O00844,2024-03-28 22:47:00,delivery_instruction_update,S29750,iOS,South,760,True
AE00023,C0543,O00854,2024-10-16 14:48:00,chat_opened,S76975,iOS,north,644,True
AE00024,C0022,O01082,2024-03-11 19:51:00,track_order,S59171,Android,EAST,60,True
AE00025,C0486,,2025-06-27 22:42:00,track_order,S29906,iOS,North,350,True
AE00026,C0490,O00330,2024-11-16 23:54:00,eta_refresh,S93151,Android,NORTH,388,True
AE00027,C0574,O00077,2024-05-12 06:04:00,delivery_instruction_update,S14580,iOS,Riverside,886,True
AE00028,C0166,,2024-09-27 00:44:00,track_order,S26243,Android,South,570,True
AE00029,C0367,,2024-03-27 16:30:00,payment_retry,S27022,Android,EAST,435,True
AE00030,C0455,O00229,2025-06-07 02:10:00,chat_opened,S74816,iOS,West,403,True
AE00031,C0241,O01158,2024-06-09 05:13:00,track_order,S52070,iOS,Airport,1660,True
AE00032,C0226,O00402,2025-09-20 00:20:00,search_route,S18892,Android,EAST,632,True
AE00033,C0587,O00742,2025-01-03 09:32:00,track_order,S56165,Android,north,520,True
AE00034,C0245,,2025-08-21 08:08:00,search_route,S39479,Android,CENTRAL,510,True
AE00035,C0017,,2025-10-08 17:17:00,payment_retry,S20798,iOS,SOUTH,60,True
AE00036,C0007,O00977,2025-05-03 17:47:00,chat_escalated,S19561,iOS,Ctr,362,False
AE00037,C0160,,2025-08-26 22:16:00,chat_opened,S73982,Android,East,458,True
AE00038,C0166,O00475,2025-09-25 11:47:00,eta_refresh,S10481,iOS,WEST,324,True
AE00039,C0274,,2024-01-09 23:40:00,payment_retry,S24754,iOS,Ctr,528,True
AE00040,C0532,O01015,2025-11-17 09:32:00,search_route,S82851,iOS,WEST,724,True
AE00041,C0075,O00349,2025-05-24 04:19:00,track_order,S44614,Android,Riverside,670,True
AE00042,C0409,O00044,2024-09-18 07:02:00,search_route,S80779,iOS,north,524,True
AE00043,C0200,O00954,2024-11-27 18:10:00,eta_refresh,S78974,Android,WEST,287,True
AE00044,C0633,O01022,2025-06-04 17:13:00,search_route,S44218,Android,CENTRAL,588,True
AE00045,C0163,O00696,2024-10-09 22:04:00,payment_retry,S76855,iOS,Airport,555,True
AE00046,C0531,O00016,2024-10-30 13:13:00,search_route,S55883,Web,WEST,326,True
AE00047,C0063,O00159,2024-09-18 14:52:00,track_order,S29662,iOS,East,344,True
AE00048,C0306,O01222,2025-02-25 04:16:00,chat_escalated,S77519,Android,RiverSide,166,False
AE00049,C0381,O01086,2025-11-11 17:22:00,chat_opened,S99244,Android,West,113,True
AE00050,C0114,,2024-01-05 23:16:00,track_order,S64182,Android,North,545,True
AE00051,C0080,O00512,2025-10-18 21:50:00,eta_refresh,S35136,Android,Ctr,473,True
AE00052,C0326,O01080,2024-02-12 02:37:00,payment_retry,S42021,Android,north,570,False
AE00053,C0349,O00467,2024-11-28 23:28:00,delivery_instruction_update,S83805,iOS,South,255,True
AE00054,C0138,O00189,2025-05-01 02:00:00,search_route,S82990,iOS,South,73,True
AE00055,C0120,O00922,2024-09-29 23:08:00,track_order,S55056,iOS,AIRPORT,800,True
AE00056,C0556,O01180,2025-09-23 17:24:00,payment_retry,S77071,Android,north,592,False
AE00057,C0266,O00600,2025-11-03 13:54:00,track_order,S51373,Android,East,585,True
AE00058,C0187,,2025-08-26 16:54:00,search_route,S24062,iOS,AIRPORT,207,True
AE00059,C0613,,2024-12-30 21:49:00,delivery_instruction_update,S18202,Android,East,327,True
AE00060,C0490,O00551,2025-09-14 12:20:00,search_route,S69751,iOS,Central,270,True
AE00061,C0551,O01205,2025-03-31 09:18:00,track_order,S46023,iOS,Airport,418,True
AE00062,C0116,O01105,2024-01-29 07:08:00,track_order,S57220,Android,Riverside,838,True
AE00063,C0549,O00656,2024-11-06 15:04:00,delivery_instruction_update,S42721,Android,East,274,True
AE00064,C0515,O00032,2024-09-16 15:36:00,track_order,S99350,Android,Central,840,True
AE00065,C0127,O01042,2024-04-03 04:07:00,delivery_instruction_update,S23520,Android,East,287,True
AE00066,C0612,,2025-05-19 07:41:00,payment_retry,S90136,Android,RiverSide,60,False
AE00067,C0113,O00822,2025-04-28 01:07:00,eta_refresh,S57776,Android,North,594,True
AE00068,C0130,O00096,2024-04-06 13:41:00,chat_opened,S29137,Android,Ctr,60,True
AE00069,C0303,,2025-02-13 15:13:00,payment_retry,S60656,Android,South,637,False
AE00070,C0063,O00689,2025-06-11 06:37:00,chat_opened,S88132,iOS,CENTRAL,477,True
AE00071,C0565,O01092,2024-10-11 06:33:00,chat_opened,S38006,iOS,EAST,300,True
AE00072,C0006,O00802,2025-11-10 23:09:00,track_order,S37414,Android,Ctr,155,True
AE00073,C0521,,2025-08-20 22:37:00,cancel_attempt,S18062,Web,AIRPORT,392,True
AE00074,C0522,,2025-04-13 00:33:00,chat_opened,S11111,iOS,Airport,347,True
AE00075,C0439,O00245,2024-09-22 13:20:00,delivery_instruction_update,S47526,iOS,AIRPORT,463,True
AE00076,C0221,O01006,2025-04-19 07:46:00,delivery_instruction_update,S50746,Android,EAST,1005,True
AE00077,C0549,O01026,2024-06-12 20:18:00,search_route,S59198,iOS,East,546,True
AE00078,C0328,,2025-04-30 19:26:00,eta_refresh,S67487,Android,AIRPORT,853,True
AE00079,C0371,O00950,2025-02-28 12:58:00,delivery_instruction_update,S75895,iOS,RiverSide,646,True
AE00080,C0181,O00757,2024-01-08 01:12:00,search_route,S51497,Android,SOUTH,783,True
AE00081,C0182,O00976,2024-05-14 22:41:00,track_order,S96252,Android,WEST,422,True
AE00082,C0231,O00506,2025-12-03 00:20:00,search_route,S46240,iOS,East,60,True
AE00083,C0215,O00602,2024-09-12 22:25:00,track_order,S29184,iOS,East,265,True
AE00084,C0021,O01124,2024-02-22 02:18:00,delivery_instruction_update,S65491,iOS,South,688,True
AE00085,C0634,O01212,2024-03-20 07:47:00,delivery_instruction_update,S30667,Android,Airport,843,True
AE00086,C0256,,2024-03-16 01:54:00,search_route,S82272,iOS,South,813,True
AE00087,C0218,O00386,2024-06-27 01:58:00,search_route,S21479,Android,RiverSide,401,True
AE00088,C0157,,2024-06-12 21:08:00,chat_opened,S21347,Android,NORTH,561,True
AE00089,C0637,O00619,2024-01-02 17:18:00,search_route,S54109,Web,north,60,True
AE00090,C0044,O00078,2025-07-17 23:08:00,payment_retry,S76455,Android,north,820,True
AE00091,C0204,O00772,2025-12-06 06:51:00,chat_escalated,S24981,iOS,East,610,True
AE00092,C0129,O00080,2025-04-22 23:16:00,eta_refresh,S30798,Android,Ctr,522,True
AE00093,C0025,O00405,2024-02-13 15:40:00,payment_retry,S57429,iOS,EAST,440,True
AE00094,C0010,,2025-08-01 11:56:00,track_order,S78031,iOS,South,573,True
AE00095,C0428,O01057,2025-05-16 01:12:00,delivery_instruction_update,S81735,Web,WEST,399,True
AE00096,C0424,O00426,2025-02-07 00:14:00,track_order,S50881,Web,East,562,True
AE00097,C0468,O00460,2025-06-10 04:05:00,payment_retry,S77602,Android,Riverside,404,False
AE00098,C0101,,2025-01-31 14:10:00,chat_escalated,S89859,iOS,RiverSide,401,True
AE00099,C0095,O00709,2024-04-25 00:36:00,payment_retry,S33955,Android,RiverSide,138,True
AE00100,C0312,,2024-05-29 17:36:00,chat_escalated,S86296,Android,Airport,137,False
AE00101,C0149,,2025-08-08 19:08:00,cancel_attempt,S34862,Web,Central,618,True
AE00102,C0272,O01227,2025-05-13 09:40:00,chat_escalated,S62522,Android,East,982,True
AE00103,C0306,O00114,2025-10-02 10:34:00,payment_retry,S19712,Web,NORTH,551,True
AE00104,C0429,O00170,2024-03-19 16:37:00,chat_opened,S25315,Android,RiverSide,649,True
AE00105,C0540,O00428,2024-05-28 05:14:00,cancel_attempt,S64900,iOS,Riverside,153,True
AE00106,C0360,O01144,2025-01-25 13:47:00,search_route,S96181,Android,South,216,True
AE00107,C0081,O00858,2024-01-24 03:08:00,chat_escalated,S34476,Android,North,449,False
AE00108,C0307,,2024-11-27 16:15:00,eta_refresh,S13993,Web,Ctr,1285,True
AE00109,C0114,O00393,2024-07-17 12:02:00,eta_refresh,S22089,Android,AIRPORT,533,True
AE00110,C0382,O00099,2024-07-03 02:04:00,delivery_instruction_update,S87255,Web,Ctr,209,True
AE00111,C0565,O00055,2025-02-06 03:15:00,cancel_attempt,S80723,Android,RiverSide,219,True
AE00112,C0259,O00051,2025-04-24 08:45:00,search_route,S67232,Android,CENTRAL,602,True
AE00113,C0540,O01132,2024-02-27 18:25:00,search_route,S21806,Android,WEST,510,True
AE00114,C0135,O00217,2025-06-02 18:48:00,eta_refresh,S46677,iOS,WEST,464,True
AE00115,C0012,O00781,2025-12-29 23:12:00,track_order,S41963,iOS,north,546,True
